Time,DPOS(0),MPOS(0),MSPEED(0),DRIVE_FE(0)
0.138,83.96865,83.96865,0.0,0.0
0.139,83.96865,83.96865,0.0,0.0
0.14,83.96865,83.96865,-0.00048,0.0
0.141,83.96865,83.96865,0.0,0.0
0.142,83.96865,83.96865,0.00048,0.0
0.143,83.96865,83.96865,0.0,0.0
0.144,83.96865,83.96865,-0.00048,0.0
0.145,83.96865,83.96865,0.00048,0.0
0.146,83.96865,83.96865,0.0,0.0
0.147,83.96865,83.96865,0.0,0.0
0.148,83.96865,83.96865,0.0,0.0
0.149,83.96865,83.96865,-0.00048,0.0
0.15,83.96865,83.96865,0.00048,0.0
0.151,83.96865,83.96865,-0.00048,0.0
0.152,83.96865,83.96865,0.00048,0.0
0.153,83.96865,83.96865,0.0,0.0
0.154,83.96865,83.96865,0.0,0.0
0.155,83.96865,83.96865,0.00048,0.0
0.156,83.96865,83.96865,-0.00048,0.0
0.157,83.96865,83.96865,-0.00048,0.0
0.158,83.96865,83.96865,0.00048,0.0
0.159,83.96865,83.96865,0.00048,0.0
0.16,83.96865,83.96865,-0.00143,0.0
0.161,83.96865,83.96865,0.00048,0.0
0.162,83.96865,83.96865,0.00048,0.0
0.163,83.96865,83.96865,0.0,0.0
0.164,83.96865,83.96865,0.0,0.0
0.165,83.96865,83.96865,-0.00048,0.0
0.166,83.96865,83.96865,0.00048,0.0
0.167,83.96865,83.96865,-0.00048,0.0
0.168,83.96865,83.96865,0.00048,0.0
0.169,83.96865,83.96865,0.0,0.0
0.17,83.96865,83.96865,0.0,0.0
0.171,83.96865,83.96865,-0.00048,0.0
0.172,83.96865,83.96865,0.00095,0.0
0.173,83.96865,83.96865,-0.00143,0.0
0.174,83.96865,83.96865,0.00095,0.0
0.175,83.96865,83.96865,0.00048,0.0
0.176,83.96865,83.96865,-0.00095,0.0
0.177,83.96865,83.96865,0.00048,0.0
0.178,83.96865,83.96865,0.0,0.0
0.179,83.96865,83.96865,0.00048,0.0
0.18,83.96865,83.96865,-0.00048,0.0
0.181,83.96865,83.96865,0.0,0.0
0.182,83.96865,83.96865,0.0,0.0
0.183,83.96865,83.96865,-0.00048,0.0
0.184,83.96865,83.96865,0.0,0.0
0.185,83.96865,83.96865,0.00048,0.0
0.186,83.96865,83.96865,0.0,0.0
0.187,83.96865,83.96865,0.0,0.0
0.188,83.96865,83.96865,-0.00048,0.0
0.189,83.96865,83.96865,0.00048,0.0
0.19,83.96865,83.96865,0.0,0.0
0.191,83.96865,83.96865,0.00048,0.0
0.192,83.96865,83.96865,-0.00095,0.0
0.193,83.96865,83.96865,0.00048,0.0
0.194,83.96865,83.96865,0.00048,0.0
0.195,83.96865,83.96865,-0.00048,0.0
0.196,83.96865,83.96865,0.0,0.0
0.197,83.96865,83.96865,0.0,0.0
0.198,83.96865,83.96865,-0.00048,0.0
0.199,83.96865,83.96865,0.00048,0.0
0.2,83.96865,83.96865,0.0,0.0
0.201,83.96865,83.96865,0.00048,0.0
0.202,83.96865,83.96865,-0.00048,0.0
0.203,83.96865,83.96865,-0.00048,0.0
0.204,83.96865,83.96865,0.00048,0.0
0.205,83.96865,83.96865,0.00048,0.0
0.206,83.96865,83.96865,-0.00048,0.0
0.207,83.96865,83.96865,0.00048,0.0
0.208,83.96865,83.96865,-0.00048,0.0
0.209,83.96865,83.96865,0.0,0.0
0.21,83.96865,83.96865,0.00048,0.0
0.211,83.96865,83.96865,-0.00048,0.0
0.212,83.96865,83.96865,0.00048,0.0
0.213,83.96865,83.96865,-0.00048,0.0
0.214,83.96865,83.96865,0.00048,0.0
0.215,83.96865,83.96865,-0.00048,0.0
0.216,83.96865,83.96865,0.0,0.0
0.217,83.96865,83.96865,-0.00048,0.0
0.218,83.96865,83.96865,0.00048,0.0
0.219,83.96865,83.96865,0.00048,0.0
0.22,83.96865,83.96865,0.0,0.0
0.221,83.96865,83.96865,0.0,0.0
0.222,83.96865,83.96865,0.0,0.0
0.223,83.96865,83.96865,-0.00048,0.0
0.224,83.96865,83.96865,0.0,0.0
0.225,83.96865,83.96865,0.00048,0.0
0.226,83.96865,83.96865,0.0,0.0
0.227,83.96865,83.96865,0.0,0.0
0.228,83.96865,83.96865,-0.00048,0.0
0.229,83.96865,83.96865,0.0,0.0
0.23,83.96865,83.96865,0.0,0.0
0.231,83.96865,83.96865,0.00048,0.0
0.232,83.96865,83.96865,0.0,0.0
0.233,83.96865,83.96865,0.0,0.0
0.234,83.96865,83.96865,0.0,0.0
0.235,83.96865,83.96865,-0.00048,0.0
0.236,83.96865,83.96865,0.00048,0.0
0.237,83.96865,83.96865,0.0,0.0
0.238,83.96865,83.96865,0.0,0.0
0.239,83.96865,83.96865,-0.00048,0.0
0.24,83.96865,83.96865,0.00048,0.0
0.241,83.96865,83.96865,-0.00048,0.0
0.242,83.96865,83.96865,0.00095,0.0
0.243,83.96865,83.96865,-0.00048,0.0
0.244,83.96865,83.96865,0.00048,0.0
0.245,83.96865,83.96865,-0.00095,0.0
0.246,83.96865,83.96865,0.00095,0.0
0.247,83.96865,83.96865,0.0,0.0
0.248,83.96865,83.96865,-0.00048,0.0
0.249,83.96865,83.96865,0.0,0.0
0.25,83.96865,83.96865,0.0,0.0
0.251,83.96865,83.96865,0.0,0.0
0.252,83.96865,83.96865,0.00048,0.0
0.253,83.96865,83.96865,0.0,0.0
0.254,83.96865,83.96865,-0.00048,0.0
0.255,83.96865,83.96865,0.00048,0.0
0.256,83.96865,83.96865,-0.00048,0.0
0.257,83.96865,83.96865,0.0,0.0
0.258,83.96865,83.96865,-0.00048,0.0
0.259,83.96865,83.96865,0.00048,0.0
0.26,83.96865,83.96865,0.00048,0.0
0.261,83.96865,83.96865,-0.00048,0.0
0.262,83.96865,83.96865,0.00048,0.0
0.263,83.96865,83.96865,0.0,0.0
0.264,83.96865,83.96865,-0.00048,0.0
0.265,83.96865,83.96865,0.0,0.0
0.266,83.96865,83.96865,0.0,0.0
0.267,83.96865,83.96865,0.0,0.0
0.268,83.96865,83.96865,0.00048,0.0
0.269,83.96865,83.96865,-0.00095,0.0
0.27,83.96865,83.96865,0.00048,0.0
0.271,83.96865,83.96865,0.0,0.0
0.272,83.96865,83.96865,0.00048,0.0
0.273,83.96865,83.96865,-0.00048,0.0
0.274,83.96865,83.96865,0.0,0.0
0.275,83.96865,83.96865,0.0,0.0
0.276,83.96865,83.96865,-0.00048,0.0
0.277,83.96865,83.96865,0.00048,0.0
0.278,83.96865,83.96865,0.00048,0.0
0.279,83.96865,83.96865,-0.00048,0.0
0.28,83.96865,83.96865,0.00048,0.0
0.281,83.96865,83.96865,-0.00048,0.0
0.282,83.96865,83.96865,-0.00048,0.0
0.283,83.96865,83.96865,0.00143,0.0
0.284,83.96865,83.96865,-0.00143,0.0
0.285,83.96865,83.96865,0.00048,0.0
0.286,83.96865,83.96865,0.00048,0.0
0.287,83.96865,83.96865,-0.00048,0.0
0.288,83.96865,83.96865,0.00048,0.0
0.289,83.96865,83.96865,-0.00095,0.0
0.29,83.96865,83.96865,0.00048,0.0
0.291,83.96865,83.96865,0.00048,0.0
0.292,83.96865,83.96865,-0.00095,0.0
0.293,83.96865,83.96865,0.00095,0.0
0.294,83.96865,83.96865,-0.00095,0.0
0.295,83.96865,83.96865,0.00048,0.0
0.296,83.96865,83.96865,-0.00048,0.0
0.297,83.96865,83.96865,0.00048,0.0
0.298,83.96865,83.96865,-0.00048,0.0
0.299,83.96865,83.96865,0.00048,0.0
0.3,83.96865,83.96865,0.0,0.0
0.301,83.96865,83.96865,-0.00048,0.0
0.302,83.96865,83.96865,0.00048,0.0
0.303,83.96865,83.96865,-0.00095,0.0
0.304,83.96865,83.96865,0.00095,0.0
0.305,83.96865,83.96865,-0.00048,0.0
0.306,83.96865,83.96865,0.00095,0.0
0.307,83.96865,83.96865,0.0,0.0
0.308,83.96865,83.96865,-0.00048,0.0
0.309,83.96865,83.96865,0.0,0.0
0.31,83.96865,83.96865,0.0,0.0
0.311,83.96865,83.96865,-0.00048,0.0
0.312,83.96865,83.96865,0.00095,0.0
0.313,83.96865,83.96865,0.0,0.0
0.314,83.96865,83.96865,0.0,0.0
0.315,83.96865,83.96865,-0.00048,0.0
0.316,83.96865,83.96865,0.0,0.0
0.317,83.96865,83.96865,0.00048,0.0
0.318,83.96865,83.96865,-0.00048,0.0
0.319,83.96865,83.96865,0.00048,0.0
0.32,83.96865,83.96865,0.0,0.0
0.321,83.96865,83.96865,-0.00048,0.0
0.322,83.96865,83.96865,0.0,0.0
0.323,83.96865,83.96865,0.0,0.0
0.324,83.96865,83.96865,0.0,0.0
0.325,83.96865,83.96865,0.0,0.0
0.326,83.96865,83.96865,-0.00048,0.0
0.327,83.96865,83.96865,0.00048,0.0
0.328,83.96865,83.96865,0.0,0.0
0.329,83.96865,83.96865,-0.00048,0.0
0.33,83.96865,83.96865,0.00048,0.0
0.331,83.96865,83.96865,-0.00048,0.0
0.332,83.96865,83.96865,0.00048,0.0
0.333,83.96865,83.96865,-0.00048,0.0
0.334,83.96865,83.96865,0.00048,0.0
0.335,83.96865,83.96865,0.0,0.0
0.336,83.96865,83.96865,0.0,0.0
0.337,83.96865,83.96865,0.0,0.0
0.338,83.96865,83.96865,0.0,0.0
0.339,83.96865,83.96865,0.0,0.0
0.34,83.96865,83.96865,0.00048,0.0
0.341,83.96865,83.96865,0.0,0.0
0.342,83.96865,83.96865,-0.00095,0.0
0.343,83.96865,83.96865,0.00048,0.0
0.344,83.96865,83.96865,0.0,0.0
0.345,83.96865,83.96865,0.0,0.0
0.346,83.96865,83.96865,0.00048,0.0
0.347,83.96865,83.96865,-0.00095,0.0
0.348,83.96865,83.96865,0.00095,0.0
0.349,83.96865,83.96865,-0.00048,0.0
0.35,83.96865,83.96865,-0.00048,0.0
0.351,83.96865,83.96865,0.00095,0.0
0.352,83.96865,83.96865,-0.00048,0.0
0.353,83.96865,83.96865,0.00048,0.0
0.354,83.96865,83.96865,-0.00048,0.0
0.355,83.96865,83.96865,0.0,0.0
0.356,83.96865,83.96865,0.0,0.0
0.357,83.96865,83.96865,0.00048,0.0
0.358,83.96865,83.96865,0.00048,0.0
0.359,83.96865,83.96865,-0.00048,0.0
