Time,MPOS(0),DPOS(0),DRIVE_FE(0),MSPEEDF(0)
0.0,222.62829,222.62829,9.53674e-07,0.0062
0.001,222.6283,222.62829,-2.38419e-06,0.00334
0.002,222.62829,222.62829,9.53674e-07,-0.00381
0.003,222.62831,222.62829,-1.33514e-05,0.01383
0.004,222.62829,222.62829,4.29153e-06,-0.01717
0.005,222.6283,222.62829,-2.86102e-06,0.00954
0.006,222.6283,222.62829,-3.33786e-06,0.0
0.007,222.6283,222.62829,-1.00136e-05,0.00334
0.008,222.6283,222.62829,-8.10623e-06,0.0
0.009,222.6283,222.62829,-4.76837e-06,-0.00381
0.01,222.62829,222.62829,-9.53674e-07,-0.00334
0.011,222.62829,222.62829,-1.43051e-06,-0.00143
0.012,222.62829,222.62829,3.8147e-06,-0.00095
0.013,222.6283,222.62829,-3.33786e-06,0.00381
0.014,222.62829,222.62829,1.90735e-06,-0.00381
0.015,222.6283,222.62829,-4.76837e-06,0.0062
0.016,222.62828,222.62829,1.33514e-05,-0.0186
0.017,222.62829,222.62829,5.24521e-06,0.01144
0.018,222.6283,222.62829,-5.72205e-06,0.00572
0.019,222.6283,222.62829,0.0,-0.00143
0.02,222.62831,222.62829,-1.4782e-05,0.01287
0.021,222.62829,222.62829,-2.86102e-06,-0.01431
0.022,222.6283,222.62829,-1.90735e-06,0.00429
0.023,222.62829,222.62829,-2.38419e-06,-0.00525
0.024,222.62829,222.62829,9.53674e-07,0.00048
0.025,222.6283,222.62829,-3.8147e-06,0.00286
0.026,222.62828,222.62829,6.67572e-06,-0.01383
0.027,222.6283,222.62829,4.76837e-07,0.0124
0.028,222.62829,222.62829,-9.53674e-07,-0.00334
0.029,222.6283,222.62829,-4.76837e-07,0.00381
0.03,222.62829,222.62829,-1.43051e-06,-0.00429
0.031,222.6283,222.62829,-4.76837e-07,0.00381
0.032,222.62829,222.62829,0.0,-0.00238
0.033,222.62831,222.62829,-9.53674e-06,0.01574
0.034,222.6283,222.62829,-1.04904e-05,-0.00429
