Time,DPOS(0),MSPEED(0),DRIVE_FE(0),DEMAND_SPEED(0),DEMAND_SPEED_NORMALISED(0)
0.108,-582422455.0,1000.0,0.0,1.0,1000.0
0.109,-582422455.0,0.0,0.0,0.0,0.0
0.11,-582422455.0,0.0,0.0,0.0,0.0
0.111,-582422454.0,1000.0,0.0,1.0,1000.0
0.112,-582422454.0,0.0,0.0,0.0,0.0
0.113,-582422454.0,0.0,0.0,0.0,0.0
0.114,-582422454.0,0.0,0.0,0.0,0.0
0.115,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.116,-582422455.0,0.0,0.0,0.0,0.0
0.117,-582422457.0,-2000.0,0.0,-2.0,-2000.0
0.118,-582422455.0,2000.0,0.0,2.0,2000.0
0.119,-582422454.0,1000.0,0.0,1.0,1000.0
0.12,-582422454.0,0.0,0.0,0.0,0.0
0.121,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.122,-582422455.0,0.0,0.0,0.0,0.0
0.123,-582422455.0,0.0,0.0,0.0,0.0
0.124,-582422455.0,0.0,0.0,0.0,0.0
0.125,-582422455.0,0.0,0.0,0.0,0.0
0.126,-582422454.0,1000.0,0.0,1.0,1000.0
0.127,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.128,-582422455.0,0.0,0.0,0.0,0.0
0.129,-582422455.0,0.0,0.0,0.0,0.0
0.13,-582422454.0,1000.0,0.0,1.0,1000.0
0.131,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.132,-582422455.0,0.0,0.0,0.0,0.0
0.133,-582422454.0,1000.0,0.0,1.0,1000.0
0.134,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.135,-582422454.0,1000.0,0.0,1.0,1000.0
0.136,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.137,-582422455.0,0.0,0.0,0.0,0.0
0.138,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.139,-582422454.0,2000.0,0.0,2.0,2000.0
0.14,-582422456.0,-2000.0,0.0,-2.0,-2000.0
0.141,-582422455.0,1000.0,0.0,1.0,1000.0
0.142,-582422455.0,0.0,0.0,0.0,0.0
0.143,-582422455.0,0.0,0.0,0.0,0.0
0.144,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.145,-582422455.0,1000.0,0.0,1.0,1000.0
0.146,-582422455.0,0.0,0.0,0.0,0.0
0.147,-582422455.0,0.0,0.0,0.0,0.0
0.148,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.149,-582422455.0,1000.0,0.0,1.0,1000.0
0.15,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.151,-582422455.0,1000.0,0.0,1.0,1000.0
0.152,-582422454.0,1000.0,0.0,1.0,1000.0
0.153,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.154,-582422455.0,0.0,0.0,0.0,0.0
0.155,-582422455.0,0.0,0.0,0.0,0.0
0.156,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.157,-582422455.0,1000.0,0.0,1.0,1000.0
0.158,-582422455.0,0.0,0.0,0.0,0.0
0.159,-582422455.0,0.0,0.0,0.0,0.0
0.16,-582422455.0,0.0,0.0,0.0,0.0
0.161,-582422455.0,0.0,0.0,0.0,0.0
0.162,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.163,-582422455.0,1000.0,0.0,1.0,1000.0
0.164,-582422455.0,0.0,0.0,0.0,0.0
0.165,-582422454.0,1000.0,0.0,1.0,1000.0
0.166,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.167,-582422455.0,0.0,0.0,0.0,0.0
0.168,-582422455.0,0.0,0.0,0.0,0.0
0.169,-582422455.0,0.0,0.0,0.0,0.0
0.17,-582422455.0,0.0,0.0,0.0,0.0
0.171,-582422455.0,0.0,0.0,0.0,0.0
0.172,-582422455.0,0.0,0.0,0.0,0.0
0.173,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.174,-582422455.0,1000.0,0.0,1.0,1000.0
0.175,-582422455.0,0.0,0.0,0.0,0.0
0.176,-582422454.0,1000.0,0.0,1.0,1000.0
0.177,-582422454.0,0.0,0.0,0.0,0.0
0.178,-582422453.0,1000.0,0.0,1.0,1000.0
0.179,-582422455.0,-2000.0,0.0,-2.0,-2000.0
0.18,-582422455.0,0.0,0.0,0.0,0.0
0.181,-582422455.0,0.0,0.0,0.0,0.0
0.182,-582422455.0,0.0,0.0,0.0,0.0
0.183,-582422455.0,0.0,0.0,0.0,0.0
0.184,-582422454.0,1000.0,0.0,1.0,1000.0
0.185,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.186,-582422455.0,0.0,0.0,0.0,0.0
0.187,-582422456.0,-1000.0,0.0,-1.0,-1000.0
0.188,-582422454.0,2000.0,0.0,2.0,2000.0
0.189,-582422454.0,0.0,0.0,0.0,0.0
0.19,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.191,-582422455.0,0.0,0.0,0.0,0.0
0.192,-582422454.0,1000.0,0.0,1.0,1000.0
0.193,-582422455.0,-1000.0,0.0,-1.0,-1000.0
0.194,-582422454.0,1000.0,0.0,1.0,1000.0
0.195,-582422454.0,0.0,0.0,0.0,0.0
0.196,-582422456.0,-2000.0,0.0,-2.0,-2000.0
0.197,-582422454.0,2000.0,0.0,2.0,2000.0
0.198,-582422455.0,-1000.0,0.0,-1.0,-1000.0
