Time,MPOS(0),DPOS(0),DRIVE_FE(0),MSPEEDF(0)
0.114,184.96931,184.96929,-8.10623e-06,0.0062
0.115,184.9693,184.96929,-1.00136e-05,-0.00381
0.116,184.96929,184.96929,5.72205e-06,-0.01287
0.117,184.96929,184.96929,0.0,0.00477
0.118,184.96929,184.96929,5.24521e-06,-0.00095
0.119,184.96929,184.96929,-1.90735e-06,0.00238
0.12,184.96929,184.96929,2.38419e-06,-0.00095
0.121,184.96929,184.96929,2.86102e-06,-0.00381
0.122,184.9693,184.96929,-3.8147e-06,0.00715
0.123,184.9693,184.96929,-7.62939e-06,0.00477
0.124,184.9693,184.96929,-1.09673e-05,0.00143
0.125,184.9693,184.96929,-6.67572e-06,-0.00048
0.126,184.9693,184.96929,-5.72205e-06,-0.00238
0.127,184.9693,184.96929,-1.43051e-06,-0.00286
0.128,184.9693,184.96929,-9.05991e-06,0.00429
0.129,184.96929,184.96929,-4.76837e-07,-0.01049
0.13,184.9693,184.96929,-3.33786e-06,0.00715
0.131,184.96931,184.96929,-1.33514e-05,0.00811
0.132,184.96929,184.96929,2.38419e-06,-0.01717
0.133,184.96931,184.96929,-1.09673e-05,0.01621
0.134,184.9693,184.96929,-1.90735e-06,-0.00954
0.135,184.9693,184.96929,-1.43051e-06,-0.00095
0.136,184.9693,184.96929,-4.76837e-06,0.00477
0.137,184.9693,184.96929,-9.05991e-06,0.00048
0.138,184.96929,184.96929,4.76837e-06,-0.01001
0.139,184.9693,184.96929,-5.72205e-06,0.00858
0.14,184.96929,184.96929,5.72205e-06,-0.01192
0.141,184.96929,184.96929,6.67572e-06,0.00143
0.142,184.96929,184.96929,4.76837e-07,0.0062
0.143,184.96929,184.96929,4.29153e-06,-0.00668
0.144,184.96929,184.96929,2.38419e-06,0.00143
0.145,184.96928,184.96929,1.33514e-05,-0.01097
0.146,184.9693,184.96929,-9.53674e-07,0.01812
0.147,184.96928,184.96929,5.24521e-06,-0.0124
0.148,184.96929,184.96929,6.19888e-06,0.00477
0.149,184.96929,184.96929,7.15256e-06,-0.00334
0.15,184.9693,184.96929,-4.76837e-06,0.01144
0.151,184.96929,184.96929,6.19888e-06,-0.00668
0.152,184.96929,184.96929,4.76837e-06,-0.00191
0.153,184.96928,184.96929,1.14441e-05,-0.0062
0.154,184.9693,184.96929,-7.15256e-06,0.01812
0.155,184.96929,184.96929,-4.76837e-07,-0.00668
0.156,184.96929,184.96929,0.0,0.00048
0.157,184.96929,184.96929,-4.76837e-07,0.0
0.158,184.9693,184.96929,-2.38419e-06,0.00429
0.159,184.9693,184.96929,-7.62939e-06,0.00286
0.16,184.96929,184.96929,6.19888e-06,-0.01574
0.161,184.9693,184.96929,-9.53674e-06,0.01812
0.162,184.96929,184.96929,-1.43051e-06,-0.00954
0.163,184.96929,184.96929,-4.76837e-07,-0.00191
0.164,184.96929,184.96929,2.38419e-06,-0.00095
0.165,184.9693,184.96929,-4.76837e-06,0.00572
0.166,184.96929,184.96929,5.72205e-06,-0.00668
0.167,184.9693,184.96929,-5.72205e-06,0.01144
0.168,184.96929,184.96929,-4.76837e-07,-0.00858
0.169,184.96929,184.96929,-9.53674e-07,0.00095
0.17,184.96929,184.96929,-1.90735e-06,-0.00334
