Time,DRIVE_CURRENT(0),MSPEED(0),DRIVE_FE(0),DPOS(0)
0.142,-1.0,0.00048,0.0,162.40646
0.143,-1.0,-0.00048,0.0,162.40646
0.144,8.0,0.00048,0.0,162.40646
0.145,5.0,0.0,0.0,162.40646
0.146,7.0,0.0,0.0,162.40646
0.147,0.0,-0.00048,0.0,162.40646
0.148,0.0,-0.00048,0.0,162.40645
0.149,2.0,0.00048,0.0,162.40646
0.15,11.0,0.0,0.0,162.40646
0.151,5.0,0.00048,0.0,162.40646
0.152,11.0,0.0,0.0,162.40646
0.153,6.0,-0.00048,0.0,162.40646
0.154,10.0,0.0,0.0,162.40646
0.155,-1.0,0.0,0.0,162.40646
0.156,2.0,0.00048,0.0,162.40646
0.157,0.0,0.0,0.0,162.40646
0.158,-1.0,0.0,0.0,162.40646
0.159,-1.0,0.0,0.0,162.40646
0.16,1.0,0.0,0.0,162.40646
0.161,-1.0,0.0,0.0,162.40646
0.162,7.0,0.0,0.0,162.40646
0.163,2.0,-0.00048,0.0,162.40646
0.164,8.0,0.0,0.0,162.40646
0.165,7.0,-0.00048,0.0,162.40645
0.166,8.0,0.00048,0.0,162.40646
0.167,3.0,0.0,0.0,162.40646
0.168,5.0,-0.00048,0.0,162.40645
0.169,8.0,0.00095,0.0,162.40646
0.17,6.0,-0.00143,0.0,162.40645
0.171,7.0,0.00048,0.0,162.40645
0.172,4.0,0.0,0.0,162.40645
0.173,7.0,0.00048,0.0,162.40646
0.174,0.0,0.0,0.0,162.40646
0.175,7.0,-0.00048,0.0,162.40645
0.176,3.0,0.0,0.0,162.40645
0.177,1.0,0.0,0.0,162.40645
0.178,6.0,-0.00048,0.0,162.40645
0.179,11.0,0.00048,0.0,162.40645
0.18,7.0,0.0,0.0,162.40645
0.181,3.0,0.0,0.0,162.40645
0.182,0.0,0.00048,0.0,162.40646
0.183,-1.0,0.0,0.0,162.40646
0.184,1.0,-0.00048,0.0,162.40645
0.185,6.0,0.0,0.0,162.40645
0.186,2.0,0.0,0.0,162.40645
0.187,-1.0,0.0,0.0,162.40645
0.188,3.0,-0.00048,0.0,162.40645
0.189,4.0,0.00048,0.0,162.40645
0.19,8.0,0.00048,0.0,162.40646
0.191,12.0,-0.00048,0.0,162.40645
0.192,11.0,0.00095,0.0,162.40646
0.193,-3.0,-0.00095,0.0,162.40645
0.194,-3.0,0.00048,0.0,162.40646
0.195,11.0,0.0,0.0,162.40646
0.196,8.0,0.0,0.0,162.40646
0.197,6.0,0.00048,0.0,162.40646
0.198,-2.0,0.0,0.0,162.40646
0.199,4.0,0.0,0.0,162.40646
0.2,1.0,0.0,0.0,162.40646
0.201,0.0,-0.00048,0.0,162.40646
0.202,11.0,0.0,0.0,162.40646
0.203,10.0,0.00048,0.0,162.40646
0.204,12.0,0.0,0.0,162.40646
0.205,12.0,-0.00048,0.0,162.40646
0.206,-4.0,-0.00048,0.0,162.40645
0.207,0.0,0.00048,0.0,162.40646
0.208,2.0,0.00048,0.0,162.40646
0.209,1.0,0.00048,0.0,162.40646
0.21,6.0,-0.00095,0.0,162.40646
0.211,0.0,0.0,0.0,162.40646
0.212,0.0,0.0,0.0,162.40646
0.213,1.0,0.00048,0.0,162.40646
0.214,0.0,-0.00048,0.0,162.40646
0.215,0.0,0.0,0.0,162.40646
0.216,8.0,0.00048,0.0,162.40646
0.217,-2.0,-0.00048,0.0,162.40646
0.218,0.0,0.00048,0.0,162.40646
0.219,7.0,-0.00048,0.0,162.40646
0.22,3.0,0.00048,0.0,162.40646
0.221,12.0,-0.00048,0.0,162.40646
0.222,1.0,-0.00095,0.0,162.40645
0.223,6.0,0.00048,0.0,162.40645
0.224,6.0,0.00048,0.0,162.40646
0.225,6.0,0.00048,0.0,162.40646
0.226,-1.0,-0.00048,0.0,162.40646
0.227,-2.0,0.0,0.0,162.40646
0.228,4.0,0.0,0.0,162.40646
0.229,7.0,0.00048,0.0,162.40646
0.23,6.0,-0.00095,0.0,162.40645
0.231,5.0,0.0,0.0,162.40645
