Time,MPOS(0),DPOS(0),DRIVE_FE(0)
0.0,179.71929,179.71929,0.0
0.001,179.71929,179.71929,0.0
0.002,179.71929,179.71929,0.0
0.003,179.71929,179.71929,0.0
0.004,179.71929,179.71929,0.0
0.005,179.71929,179.71929,0.0
0.006,179.71929,179.71929,0.0
0.007,179.71929,179.71929,0.0
0.008,179.71929,179.71929,0.0
0.009,179.71929,179.71929,0.0
0.01,179.71929,179.71929,0.0
0.011,179.71929,179.71929,0.0
0.012,179.71929,179.71929,0.0
0.013,179.71929,179.71929,0.0
0.014,179.71929,179.71929,0.0
0.015,179.71929,179.71929,0.0
0.016,179.71929,179.71929,0.0
0.017,179.71929,179.71929,0.0
0.018,179.71929,179.71929,0.0
0.019,179.71929,179.71929,0.0
0.02,179.71929,179.71929,0.0
0.021,179.71929,179.71929,0.0
0.022,179.71929,179.71929,0.0
0.023,179.71929,179.71929,0.0
0.024,179.71929,179.71929,0.0
0.025,179.71929,179.71929,0.0
0.026,179.71929,179.71929,0.0
0.027,179.71929,179.71929,0.0
0.028,179.71929,179.71929,0.0
0.029,179.71929,179.71929,0.0
0.03,179.71929,179.71929,0.0
0.031,179.71929,179.71929,0.0
0.032,179.71929,179.71929,0.0
0.033,179.71929,179.71929,0.0
0.034,179.71929,179.71929,0.0
0.035,179.71929,179.71929,0.0
0.036,179.71929,179.71929,0.0
0.037,179.71929,179.71929,0.0
0.038,179.71929,179.71929,0.0
0.039,179.71929,179.71929,0.0
0.04,179.71929,179.71929,0.0
0.041,179.71929,179.71929,0.0
0.042,179.71929,179.71929,0.0
0.043,179.71929,179.71929,0.0
0.044,179.71929,179.71929,0.0
0.045,179.71929,179.71929,0.0
0.046,179.71929,179.71929,0.0
0.047,179.71929,179.71929,0.0
0.048,179.71929,179.71929,0.0
0.049,179.71929,179.71929,0.0
0.05,179.71929,179.71929,0.0
0.051,179.71929,179.71929,0.0
0.052,179.71929,179.71929,0.0
0.053,179.71929,179.71929,0.0
0.054,179.71929,179.71929,0.0
0.055,179.71929,179.71929,0.0
0.056,179.71929,179.71929,0.0
0.057,179.71929,179.71929,0.0
0.058,179.71929,179.71929,0.0
0.059,179.71929,179.71929,0.0
0.06,179.71929,179.71929,0.0
0.061,179.71929,179.71929,0.0
0.062,179.71929,179.71929,0.0
0.063,179.71929,179.71929,0.0
0.064,179.71929,179.71929,0.0
0.065,179.71929,179.71929,0.0
0.066,179.71929,179.71929,0.0
0.067,179.71929,179.71929,0.0
0.068,179.71929,179.71929,0.0
0.069,179.71929,179.71929,0.0
0.07,179.71929,179.71929,0.0
0.071,179.71929,179.71929,0.0
0.072,179.71929,179.71929,0.0
0.073,179.71929,179.71929,0.0
0.074,179.71929,179.71929,0.0
0.075,179.71929,179.71929,0.0
0.076,179.71929,179.71929,0.0
0.077,179.71929,179.71929,0.0
0.078,179.71929,179.71929,0.0
0.079,179.71929,179.71929,0.0
0.08,179.71929,179.71929,0.0
0.081,179.71929,179.71929,0.0
0.082,179.71929,179.71929,0.0
0.083,179.71929,179.71929,0.0
0.084,179.71929,179.71929,0.0
0.085,179.71929,179.71929,0.0
0.086,179.71929,179.71929,0.0
0.087,179.71929,179.71929,0.0
0.088,179.71929,179.71929,0.0
0.089,179.71929,179.71929,0.0
0.09,179.71929,179.71929,0.0
0.091,179.71929,179.71929,0.0
0.092,179.71929,179.71929,0.0
0.093,179.71929,179.71929,0.0
0.094,179.71929,179.71929,0.0
0.095,179.71929,179.71929,0.0
0.096,179.71929,179.71929,0.0
0.097,179.71929,179.71929,0.0
0.098,179.71929,179.71929,0.0
0.099,179.71929,179.71929,0.0
0.1,179.71929,179.71929,0.0
0.101,179.71929,179.71929,0.0
0.102,179.71929,179.71929,0.0
0.103,179.71929,179.71929,0.0
0.104,179.71929,179.71929,0.0
0.105,179.71929,179.71929,0.0
0.106,179.71929,179.71929,0.0
0.107,179.71929,179.71929,0.0
0.108,179.71929,179.71929,0.0
0.109,179.71929,179.71929,0.0
0.11,179.71929,179.71929,0.0
0.111,179.71929,179.71929,0.0
0.112,179.71929,179.71929,0.0
0.113,179.71929,179.71929,0.0
0.114,179.71929,179.71929,0.0
0.115,179.71929,179.71929,0.0
0.116,179.71929,179.71929,0.0
0.117,179.71929,179.71929,0.0
0.118,179.71929,179.71929,0.0
0.119,179.71929,179.71929,0.0
0.12,179.71929,179.71929,0.0
0.121,179.71929,179.71929,0.0
0.122,179.71929,179.71929,0.0
0.123,179.71929,179.71929,0.0
0.124,179.71929,179.71929,0.0
0.125,179.71929,179.71929,0.0
0.126,179.71929,179.71929,0.0
0.127,179.71929,179.71929,0.0
0.128,179.71929,179.71929,0.0
0.129,179.71929,179.71929,0.0
0.13,179.71929,179.71929,0.0
0.131,179.71929,179.71929,0.0
0.132,179.71929,179.71929,0.0
0.133,179.71929,179.71929,0.0
0.134,179.71929,179.71929,0.0
0.135,179.71929,179.71929,0.0
0.136,179.71929,179.71929,0.0
0.137,179.71929,179.71929,0.0
0.138,179.71929,179.71929,0.0
0.139,179.71929,179.71929,0.0
0.14,179.71929,179.71929,0.0
0.141,179.71929,179.71929,0.0
0.142,179.71929,179.71929,0.0
